,idscrap,time_saved,minutes,theorique
0,1,2018-12-11 16:22:04.944528,12,True
1,1,2018-12-11 16:22:04.951549,14,False
2,1,2018-12-11 16:22:04.957560,26,True
3,1,2018-12-11 16:22:04.964578,41,True
4,1,2018-12-11 16:22:04.970598,56,True
5,2,2018-12-11 16:22:31.521443,12,True
6,2,2018-12-11 16:22:31.529457,14,False
7,2,2018-12-11 16:22:31.535475,26,True
8,2,2018-12-11 16:22:31.540485,41,True
9,2,2018-12-11 16:22:31.544496,56,True
10,3,2018-12-11 16:22:58.059777,12,False
11,3,2018-12-11 16:22:58.066845,12,True
12,3,2018-12-11 16:22:58.072819,26,True
13,3,2018-12-11 16:22:58.079883,41,True
14,3,2018-12-11 16:22:58.085897,56,True
15,4,2018-12-11 16:23:57.113077,11,False
16,4,2018-12-11 16:23:57.115080,11,True
17,4,2018-12-11 16:23:57.117089,25,True
18,4,2018-12-11 16:23:57.118088,40,True
19,4,2018-12-11 16:23:57.120093,55,True
20,5,2018-12-11 16:25:28.606562,9,False
21,5,2018-12-11 16:25:28.613614,9,True
22,5,2018-12-11 16:25:28.619636,23,True
23,5,2018-12-11 16:25:28.625651,38,True
24,5,2018-12-11 16:25:28.630664,53,True
25,6,2018-12-11 16:25:55.156320,9,False
26,6,2018-12-11 16:25:55.163338,9,True
27,6,2018-12-11 16:25:55.170356,23,True
28,6,2018-12-11 16:25:55.176372,38,True
29,6,2018-12-11 16:25:55.181384,53,True
30,7,2018-12-11 16:26:22.989041,8,False
31,7,2018-12-11 16:26:22.992049,22,True
32,7,2018-12-11 16:26:22.994058,27,False
33,7,2018-12-11 16:26:22.998066,37,True
34,7,2018-12-11 16:26:23.000071,52,True
35,8,2018-12-11 16:26:49.827496,8,False
36,8,2018-12-11 16:26:49.833548,22,True
37,8,2018-12-11 16:26:49.839564,27,False
38,8,2018-12-11 16:26:49.841561,37,True
39,8,2018-12-11 16:26:49.843566,52,True
40,9,2018-12-11 16:27:17.421657,7,False
41,9,2018-12-11 16:27:17.428693,21,True
42,9,2018-12-11 16:27:17.433704,26,False
43,9,2018-12-11 16:27:17.439720,36,True
44,9,2018-12-11 16:27:17.441674,51,True
45,10,2018-12-11 16:27:44.297068,7,False
46,10,2018-12-11 16:27:44.301070,21,True
47,10,2018-12-11 16:27:44.305080,26,False
48,10,2018-12-11 16:27:44.308088,36,True
