,idscrap,time_saved,minutes,theorique
0,1,2018-12-04 15:00:43.280167,16,False
1,1,2018-12-04 15:00:43.280167,29,True
2,1,2018-12-04 15:00:43.295795,44,True
3,1,2018-12-04 15:00:43.295795,59,True
4,2,2018-12-04 15:01:11.063864,15,False
5,2,2018-12-04 15:01:11.063864,28,True
6,2,2018-12-04 15:01:11.079491,43,True
7,2,2018-12-04 15:01:11.079491,58,True
8,3,2018-12-04 15:01:37.968174,15,False
9,3,2018-12-04 15:01:37.983829,28,True
10,3,2018-12-04 15:01:37.983829,43,True
11,3,2018-12-04 15:01:37.983829,58,True
12,4,2018-12-04 15:02:04.607545,13,False
13,4,2018-12-04 15:02:04.607545,27,True
14,4,2018-12-04 15:02:04.607545,42,True
15,4,2018-12-04 15:02:04.623119,57,True
16,5,2018-12-04 15:02:33.875518,13,False
17,5,2018-12-04 15:02:33.891145,38,False
18,5,2018-12-04 15:02:33.891145,42,True
19,5,2018-12-04 15:02:33.891145,57,True
20,6,2018-12-04 15:03:00.734279,13,False
21,6,2018-12-04 15:03:00.734279,37,False
22,6,2018-12-04 15:03:00.749922,41,True
23,6,2018-12-04 15:03:00.749922,56,True
24,7,2018-12-04 15:03:28.346387,12,False
25,7,2018-12-04 15:03:28.362016,37,False
26,7,2018-12-04 15:03:28.362016,41,True
27,7,2018-12-04 15:03:28.362016,56,True
28,8,2018-12-04 15:03:56.134840,12,False
29,8,2018-12-04 15:03:56.150468,37,False
30,8,2018-12-04 15:03:56.166094,41,True
31,8,2018-12-04 15:03:56.166094,56,True
32,9,2018-12-04 15:04:24.535212,11,False
33,9,2018-12-04 15:04:24.541215,36,False
34,9,2018-12-04 15:04:24.545970,40,True
35,9,2018-12-04 15:04:24.545970,55,True
36,10,2018-12-04 15:04:56.270942,11,False
37,10,2018-12-04 15:04:56.270942,36,False
38,10,2018-12-04 15:04:56.270942,40,True
39,10,2018-12-04 15:04:56.270942,55,True
40,11,2018-12-04 15:05:23.170374,10,False
41,11,2018-12-04 15:05:23.170374,35,False
42,11,2018-12-04 15:05:23.170374,39,True
43,11,2018-12-04 15:05:23.186001,54,True
44,12,2018-12-04 15:05:49.792403,10,False
45,12,2018-12-04 15:05:49.792403,35,False
46,12,2018-12-04 15:05:49.792403,39,True
47,12,2018-12-04 15:05:49.808055,54,True
48,13,2018-12-04 15:06:16.264186,9,False
49,13,2018-12-04 15:06:16.279812,34,False
50,13,2018-12-04 15:06:16.279812,38,True
51,13,2018-12-04 15:06:16.279812,53,True
52,14,2018-12-04 15:06:42.831132,9,False
53,14,2018-12-04 15:06:42.846757,34,False
54,14,2018-12-04 15:06:42.846757,38,True
55,14,2018-12-04 15:06:42.846757,53,True
56,15,2018-12-04 15:07:09.411165,8,False
57,15,2018-12-04 15:07:09.426840,33,False
58,15,2018-12-04 15:07:09.426840,37,True
59,15,2018-12-04 15:07:09.426840,52,True
60,16,2018-12-04 15:40:45.552306,8,False
61,16,2018-12-04 15:40:45.556318,27,False
62,16,2018-12-04 15:40:45.559333,33,True
63,16,2018-12-04 15:40:45.564338,48,True
64,17,2018-12-04 15:41:11.871675,7,False
65,17,2018-12-04 15:41:11.871675,26,False
66,17,2018-12-04 15:41:11.871675,32,True
67,17,2018-12-04 15:41:11.887302,47,True
68,18,2018-12-04 15:41:38.834258,7,False
69,18,2018-12-04 15:41:38.834258,26,False
70,18,2018-12-04 15:41:38.834258,32,True
71,18,2018-12-04 15:41:38.834258,47,True
72,19,2018-12-04 15:42:05.547098,6,False
73,19,2018-12-04 15:42:05.547098,25,False
74,19,2018-12-04 15:42:05.562776,31,True
75,19,2018-12-04 15:42:05.562776,46,True
76,20,2018-12-04 15:42:32.010870,6,False
77,20,2018-12-04 15:42:32.012873,22,False
78,20,2018-12-04 15:42:32.013876,31,True
79,20,2018-12-04 15:42:32.014878,46,True
80,21,2018-12-04 15:42:58.953902,6,False
81,21,2018-12-04 15:42:58.953902,22,False
82,21,2018-12-04 15:42:58.969570,31,True
83,21,2018-12-04 15:42:58.969570,46,True
84,22,2018-12-04 15:43:25.916282,3,False
85,22,2018-12-04 15:43:25.931913,21,False
86,22,2018-12-04 15:43:25.931913,30,True
87,22,2018-12-04 15:43:25.931913,45,True
88,23,2018-12-04 15:43:52.759499,3,False
89,23,2018-12-04 15:43:52.759499,21,False
90,23,2018-12-04 15:43:52.775129,30,True
91,23,2018-12-04 15:43:52.775129,45,True
92,24,2018-12-04 15:44:19.407584,2,False
93,24,2018-12-04 15:44:19.423211,20,False
94,24,2018-12-04 15:44:19.423211,29,True
95,24,2018-12-04 15:44:19.423211,44,True
96,25,2018-12-04 15:44:46.198815,3,False
97,25,2018-12-04 15:44:46.214490,18,False
98,25,2018-12-04 15:44:46.214490,29,True
99,25,2018-12-04 15:44:46.214490,44,True
100,26,2018-12-04 15:45:12.917309,2,False
101,26,2018-12-04 15:45:12.917309,17,False
102,26,2018-12-04 15:45:12.917309,28,True
103,26,2018-12-04 15:45:12.932947,43,True
104,26,2018-12-04 15:45:12.932947,59,True
105,27,2018-12-04 15:45:39.508004,2,False
106,27,2018-12-04 15:45:39.520537,17,False
107,27,2018-12-04 15:45:39.527054,28,True
108,27,2018-12-04 15:45:39.533612,43,True
109,27,2018-12-04 15:45:39.539628,59,True
110,28,2018-12-04 15:46:05.941096,1,False
111,28,2018-12-04 15:46:05.956776,16,False
112,28,2018-12-04 15:46:05.956776,27,True
113,28,2018-12-04 15:46:05.956776,42,True
114,28,2018-12-04 15:46:05.972400,58,True
115,29,2018-12-04 15:46:32.450337,1,False
116,29,2018-12-04 15:46:32.450337,16,False
117,29,2018-12-04 15:46:32.450337,27,True
118,29,2018-12-04 15:46:32.450337,42,True
119,29,2018-12-04 15:46:32.466005,58,True
120,30,2018-12-04 15:46:59.564406,16,False
121,30,2018-12-04 15:46:59.580041,27,True
122,30,2018-12-04 15:46:59.580041,42,True
123,30,2018-12-04 15:46:59.580041,58,True
124,31,2018-12-04 15:47:26.393109,13,False
125,31,2018-12-04 15:47:26.393109,38,False
126,31,2018-12-04 15:47:26.393109,41,True
127,31,2018-12-04 15:47:26.393109,57,True
128,32,2018-12-04 15:47:53.602702,13,False
129,32,2018-12-04 15:47:53.618328,38,False
130,32,2018-12-04 15:47:53.618328,41,True
131,32,2018-12-04 15:47:53.618328,57,True
132,33,2018-12-04 15:48:20.187758,12,False
133,33,2018-12-04 15:48:20.187758,37,False
134,33,2018-12-04 15:48:20.203393,40,True
135,33,2018-12-04 15:48:20.203393,56,True
136,34,2018-12-04 15:48:46.892660,12,False
137,34,2018-12-04 15:48:46.892660,37,False
138,34,2018-12-04 15:48:46.892660,40,True
139,34,2018-12-04 15:48:46.908294,56,True
140,35,2018-12-04 15:49:13.649192,11,False
141,35,2018-12-04 15:49:13.649192,36,False
142,35,2018-12-04 15:49:13.664779,39,True
143,35,2018-12-04 15:49:13.664779,55,True
144,36,2018-12-04 15:49:40.094997,11,False
145,36,2018-12-04 15:49:40.094997,36,False
146,36,2018-12-04 15:49:40.094997,39,True
147,36,2018-12-04 15:49:40.110621,55,True
148,37,2018-12-04 15:50:06.725870,11,False
149,37,2018-12-04 15:50:06.725870,36,False
150,37,2018-12-04 15:50:06.741505,38,True
151,37,2018-12-04 15:50:06.741505,54,True
152,38,2018-12-04 15:50:33.322475,11,False
153,38,2018-12-04 15:50:33.329492,36,False
154,38,2018-12-04 15:50:33.332497,38,True
155,38,2018-12-04 15:50:33.333674,54,True
156,39,2018-12-04 15:51:00.032260,11,False
157,39,2018-12-04 15:51:00.032260,35,False
158,39,2018-12-04 15:51:00.047886,37,True
159,39,2018-12-04 15:51:00.047886,53,True
160,40,2018-12-04 15:51:26.594645,10,False
161,40,2018-12-04 15:51:26.594645,36,False
162,40,2018-12-04 15:51:26.594645,37,True
163,40,2018-12-04 15:51:26.594645,53,True
164,41,2018-12-04 15:51:53.902658,10,False
165,41,2018-12-04 15:51:53.918284,36,False
166,41,2018-12-04 15:51:53.918284,37,True
167,41,2018-12-04 15:51:53.918284,53,True
168,42,2018-12-04 15:52:20.555028,8,False
169,42,2018-12-04 15:52:20.570643,35,False
170,42,2018-12-04 15:52:20.570643,36,True
171,42,2018-12-04 15:52:20.570643,52,True
172,43,2018-12-04 15:52:47.016241,8,False
173,43,2018-12-04 15:52:47.031871,35,False
174,43,2018-12-04 15:52:47.031871,36,True
175,43,2018-12-04 15:52:47.031871,52,True
176,44,2018-12-04 15:53:13.648100,7,False
177,44,2018-12-04 15:53:13.654616,34,False
178,44,2018-12-04 15:53:13.661134,35,True
179,44,2018-12-04 15:53:13.665644,51,True
180,45,2018-12-04 15:53:40.864859,7,False
181,45,2018-12-04 15:53:40.880455,34,False
182,45,2018-12-04 15:53:40.880455,35,True
183,45,2018-12-04 15:53:40.880455,51,True
184,46,2018-12-04 15:54:07.822975,6,False
185,46,2018-12-04 15:54:07.822975,33,False
186,46,2018-12-04 15:54:07.838604,34,True
187,46,2018-12-04 15:54:07.838604,50,True
188,47,2018-12-04 15:54:34.672002,8,False
189,47,2018-12-04 15:54:34.672002,33,False
190,47,2018-12-04 15:54:34.672002,34,True
191,47,2018-12-04 15:54:34.687604,50,True
192,48,2018-12-04 15:55:01.765759,7,False
193,48,2018-12-04 15:55:01.765759,32,False
194,48,2018-12-04 15:55:01.781433,33,True
195,48,2018-12-04 15:55:01.781433,49,True
196,49,2018-12-04 15:55:29.060764,7,False
197,49,2018-12-04 15:55:29.060764,33,True
198,49,2018-12-04 15:55:29.060764,34,False
199,49,2018-12-04 15:55:29.076421,49,True
200,50,2018-12-04 15:55:56.375890,6,False
201,50,2018-12-04 15:55:56.391473,33,True
202,50,2018-12-04 15:55:56.391473,34,False
203,50,2018-12-04 15:55:56.391473,49,True
204,51,2018-12-04 15:56:23.562655,5,False
205,51,2018-12-04 15:56:23.578283,32,True
206,51,2018-12-04 15:56:23.578283,33,False
207,51,2018-12-04 15:56:23.578283,48,True
208,52,2018-12-04 15:56:51.769958,4,False
209,52,2018-12-04 15:56:51.769958,32,True
210,52,2018-12-04 15:56:51.769958,33,False
211,52,2018-12-04 15:56:51.769958,48,True
212,53,2018-12-04 15:57:18.894776,3,False
213,53,2018-12-04 15:57:18.894776,31,True
214,53,2018-12-04 15:57:18.910414,31,False
215,53,2018-12-04 15:57:18.910414,47,True
216,54,2018-12-04 15:57:46.161787,3,False
217,54,2018-12-04 15:57:46.177415,31,True
218,54,2018-12-04 15:57:46.177415,32,False
219,54,2018-12-04 15:57:46.177415,47,True
220,55,2018-12-04 15:58:13.682646,2,False
221,55,2018-12-04 15:58:13.698278,30,True
222,55,2018-12-04 15:58:13.698278,31,False
223,55,2018-12-04 15:58:13.698278,46,True
224,56,2018-12-04 15:58:40.821990,2,False
225,56,2018-12-04 15:58:40.821990,30,True
226,56,2018-12-04 15:58:40.821990,31,False
227,56,2018-12-04 15:58:40.837617,46,True
228,57,2018-12-04 15:59:07.943398,1,False
229,57,2018-12-04 15:59:07.943398,29,True
230,57,2018-12-04 15:59:07.959028,30,False
231,57,2018-12-04 15:59:07.959028,45,True
232,58,2018-12-04 15:59:35.193554,1,False
233,58,2018-12-04 15:59:35.209181,29,True
234,58,2018-12-04 15:59:35.209181,29,False
235,58,2018-12-04 15:59:35.209181,45,True
236,59,2018-12-04 16:00:02.438657,0,False
237,59,2018-12-04 16:00:02.438657,28,True
238,59,2018-12-04 16:00:02.454325,28,False
239,59,2018-12-04 16:00:02.454325,44,True
240,59,2018-12-04 16:00:02.454325,59,True
241,60,2018-12-04 16:00:29.609250,0,False
242,60,2018-12-04 16:00:29.624887,28,True
243,60,2018-12-04 16:00:29.624887,28,False
244,60,2018-12-04 16:00:29.640511,44,True
245,60,2018-12-04 16:00:29.640511,59,True
246,61,2018-12-04 16:00:56.964359,28,True
247,61,2018-12-04 16:00:56.964359,28,False
248,61,2018-12-04 16:00:56.964359,44,True
249,61,2018-12-04 16:00:56.964359,59,True
250,62,2018-12-04 16:01:23.474566,27,True
251,62,2018-12-04 16:01:23.474566,27,False
252,62,2018-12-04 16:01:23.474566,43,True
253,62,2018-12-04 16:01:23.490201,58,True
254,63,2018-12-04 16:01:50.141196,27,True
255,63,2018-12-04 16:01:50.156816,27,False
256,63,2018-12-04 16:01:50.156816,43,True
257,63,2018-12-04 16:01:50.156816,58,True
258,64,2018-12-04 16:02:17.144992,26,True
259,64,2018-12-04 16:02:17.144992,26,False
260,64,2018-12-04 16:02:17.144992,42,True
261,64,2018-12-04 16:02:17.144992,57,True
262,65,2018-12-04 16:02:44.521037,26,True
263,65,2018-12-04 16:02:44.523050,27,False
264,65,2018-12-04 16:02:44.525080,42,True
265,65,2018-12-04 16:02:44.526082,57,True
266,66,2018-12-04 16:03:11.451521,25,True
267,66,2018-12-04 16:03:11.451521,26,False
268,66,2018-12-04 16:03:11.451521,41,True
269,66,2018-12-04 16:03:11.467112,56,True
270,67,2018-12-04 16:03:39.716877,25,True
271,67,2018-12-04 16:03:39.716877,26,False
272,67,2018-12-04 16:03:39.716877,41,True
273,67,2018-12-04 16:03:39.716877,56,True
274,68,2018-12-04 16:04:07.154474,24,True
275,68,2018-12-04 16:04:07.154474,25,False
276,68,2018-12-04 16:04:07.170100,40,True
277,68,2018-12-04 16:04:07.170100,55,True
278,69,2018-12-04 16:04:34.997736,21,False
279,69,2018-12-04 16:04:35.013404,24,True
280,69,2018-12-04 16:04:35.013404,40,True
281,69,2018-12-04 16:04:35.013404,55,True
282,70,2018-12-04 16:05:02.578229,20,False
283,70,2018-12-04 16:05:02.582739,23,True
284,70,2018-12-04 16:05:02.585747,39,True
285,70,2018-12-04 16:05:02.588755,54,True
286,71,2018-12-04 16:05:29.486552,20,False
287,71,2018-12-04 16:05:29.502144,23,True
288,71,2018-12-04 16:05:29.502144,39,True
289,71,2018-12-04 16:05:29.517772,54,True
290,72,2018-12-04 16:05:56.236174,20,False
291,72,2018-12-04 16:05:56.236174,23,True
292,72,2018-12-04 16:05:56.236174,39,True
293,72,2018-12-04 16:05:56.251809,54,True
294,73,2018-12-04 16:06:23.091465,19,False
295,73,2018-12-04 16:06:23.107057,37,False
296,73,2018-12-04 16:06:23.107057,38,True
297,73,2018-12-04 16:06:23.107057,53,True
298,74,2018-12-04 16:06:50.135027,19,False
299,74,2018-12-04 16:06:50.135027,37,False
300,74,2018-12-04 16:06:50.135027,38,True
301,74,2018-12-04 16:06:50.150659,53,True
302,75,2018-12-04 16:07:16.822780,18,False
303,75,2018-12-04 16:07:16.828799,36,False
304,75,2018-12-04 16:07:16.833816,37,True
305,75,2018-12-04 16:07:16.835813,52,True
306,76,2018-12-04 16:07:44.013061,18,False
307,76,2018-12-04 16:07:44.028657,36,False
308,76,2018-12-04 16:07:44.028657,37,True
309,76,2018-12-04 16:07:44.044285,52,True
310,77,2018-12-04 16:08:11.815132,17,False
311,77,2018-12-04 16:08:11.830759,35,False
312,77,2018-12-04 16:08:11.830759,36,True
313,77,2018-12-04 16:08:11.830759,51,True
314,78,2018-12-04 16:08:39.380350,17,False
315,78,2018-12-04 16:08:39.380350,36,True
316,78,2018-12-04 16:08:39.380350,37,False
317,78,2018-12-04 16:08:39.380350,51,True
318,79,2018-12-04 16:09:06.656225,16,False
319,79,2018-12-04 16:09:06.656225,35,True
320,79,2018-12-04 16:09:06.671867,36,False
321,79,2018-12-04 16:09:06.671867,50,True
322,80,2018-12-04 16:09:35.026649,16,False
323,80,2018-12-04 16:09:35.026649,35,True
324,80,2018-12-04 16:09:35.026649,36,False
