,idscrap,time_saved,minutes,theorique
0,1,2018-12-04 15:00:54.420847,8,False
1,1,2018-12-04 15:00:54.436470,20,True
2,1,2018-12-04 15:00:54.436470,35,True
3,1,2018-12-04 15:00:54.436470,50,True
4,2,2018-12-04 15:01:20.937063,7,False
5,2,2018-12-04 15:01:20.937063,19,True
6,2,2018-12-04 15:01:20.952733,34,True
7,2,2018-12-04 15:01:20.952733,49,True
8,3,2018-12-04 15:01:47.468600,7,False
9,3,2018-12-04 15:01:47.468600,19,True
10,3,2018-12-04 15:01:47.484230,34,True
11,3,2018-12-04 15:01:47.484230,49,True
12,4,2018-12-04 15:02:13.817551,4,False
13,4,2018-12-04 15:02:13.817551,18,True
14,4,2018-12-04 15:02:13.817551,33,True
15,4,2018-12-04 15:02:13.833178,48,True
16,5,2018-12-04 15:02:40.660658,4,False
17,5,2018-12-04 15:02:40.676295,29,False
18,5,2018-12-04 15:02:40.676295,33,True
19,5,2018-12-04 15:02:40.676295,48,True
20,6,2018-12-04 15:03:07.851677,3,False
21,6,2018-12-04 15:03:07.867301,28,False
22,6,2018-12-04 15:03:07.867301,32,True
23,6,2018-12-04 15:03:07.867301,47,True
24,7,2018-12-04 15:03:34.265896,3,False
25,7,2018-12-04 15:03:34.265896,28,False
26,7,2018-12-04 15:03:34.265896,32,True
27,7,2018-12-04 15:03:34.265896,47,True
28,8,2018-12-04 15:04:00.955012,3,False
29,8,2018-12-04 15:04:00.970656,27,False
30,8,2018-12-04 15:04:00.970656,31,True
31,8,2018-12-04 15:04:00.986273,46,True
32,9,2018-12-04 15:05:06.313349,1,False
33,9,2018-12-04 15:05:06.313349,26,False
34,9,2018-12-04 15:05:06.313349,30,True
35,9,2018-12-04 15:05:06.313349,45,True
36,9,2018-12-04 15:05:06.328975,59,True
37,10,2018-12-04 15:05:32.813042,1,False
38,10,2018-12-04 15:05:32.828683,26,False
39,10,2018-12-04 15:05:32.828683,30,True
40,10,2018-12-04 15:05:32.828683,45,True
41,10,2018-12-04 15:05:32.844312,59,True
42,11,2018-12-04 15:05:59.220072,26,False
43,11,2018-12-04 15:05:59.220072,30,True
44,11,2018-12-04 15:05:59.220072,45,True
45,11,2018-12-04 15:05:59.220072,59,True
46,12,2018-12-04 15:06:25.788875,25,False
47,12,2018-12-04 15:06:25.804502,29,True
48,12,2018-12-04 15:06:25.804502,44,True
49,12,2018-12-04 15:06:25.804502,58,True
50,13,2018-12-04 15:06:52.310801,25,False
51,13,2018-12-04 15:06:52.310801,29,True
52,13,2018-12-04 15:06:52.326427,44,True
53,13,2018-12-04 15:06:52.326427,58,True
54,14,2018-12-04 15:07:18.676735,24,False
55,14,2018-12-04 15:07:18.676735,28,True
56,14,2018-12-04 15:07:18.676735,43,True
57,14,2018-12-04 15:07:18.692366,57,True
58,15,2018-12-04 15:40:54.677194,18,False
59,15,2018-12-04 15:40:54.677194,24,True
60,15,2018-12-04 15:40:54.677194,39,True
61,15,2018-12-04 15:40:54.677194,55,True
62,16,2018-12-04 15:41:21.337093,17,False
63,16,2018-12-04 15:41:21.337093,23,True
64,16,2018-12-04 15:41:21.337093,38,True
65,16,2018-12-04 15:41:21.352734,54,True
66,17,2018-12-04 15:41:48.050227,17,False
67,17,2018-12-04 15:41:48.065852,23,True
68,17,2018-12-04 15:41:48.065852,38,True
69,17,2018-12-04 15:41:48.081479,54,True
70,18,2018-12-04 15:42:14.535582,14,False
71,18,2018-12-04 15:42:14.539619,22,True
72,18,2018-12-04 15:42:14.542633,37,True
73,18,2018-12-04 15:42:14.545613,53,True
74,19,2018-12-04 15:42:43.944008,14,False
75,19,2018-12-04 15:42:43.944008,22,True
76,19,2018-12-04 15:42:43.944008,37,True
77,19,2018-12-04 15:42:43.959629,53,True
78,20,2018-12-04 15:43:10.379458,13,False
79,20,2018-12-04 15:43:10.379458,21,True
80,20,2018-12-04 15:43:10.379458,36,True
81,20,2018-12-04 15:43:10.379458,52,True
82,21,2018-12-04 15:43:36.894253,13,False
83,21,2018-12-04 15:43:36.909905,21,True
84,21,2018-12-04 15:43:36.909905,36,True
85,21,2018-12-04 15:43:36.909905,52,True
86,22,2018-12-04 15:44:03.314904,12,False
87,22,2018-12-04 15:44:03.330532,20,True
88,22,2018-12-04 15:44:03.330532,35,True
89,22,2018-12-04 15:44:03.330532,51,True
90,23,2018-12-04 15:44:32.646932,12,False
91,23,2018-12-04 15:44:32.650988,20,True
92,23,2018-12-04 15:44:32.653494,35,True
93,23,2018-12-04 15:44:32.653494,51,True
94,24,2018-12-04 15:44:59.611622,10,False
95,24,2018-12-04 15:44:59.627250,20,True
96,24,2018-12-04 15:44:59.627250,35,True
97,24,2018-12-04 15:44:59.627250,51,True
98,25,2018-12-04 15:45:26.416660,9,False
99,25,2018-12-04 15:45:26.416660,19,True
100,25,2018-12-04 15:45:26.432283,34,True
101,25,2018-12-04 15:45:26.432283,50,True
102,26,2018-12-04 15:45:52.901608,9,False
103,26,2018-12-04 15:45:52.901608,19,True
104,26,2018-12-04 15:45:52.901608,34,True
105,26,2018-12-04 15:45:52.917229,50,True
106,27,2018-12-04 15:46:19.632924,8,False
107,27,2018-12-04 15:46:19.632924,18,True
108,27,2018-12-04 15:46:19.632924,33,True
109,27,2018-12-04 15:46:19.632924,49,True
110,28,2018-12-04 15:46:46.040637,8,False
111,28,2018-12-04 15:46:46.040637,18,True
112,28,2018-12-04 15:46:46.040637,33,True
113,28,2018-12-04 15:46:46.056312,49,True
114,29,2018-12-04 15:47:12.925414,4,False
115,29,2018-12-04 15:47:12.925414,17,True
116,29,2018-12-04 15:47:12.925414,32,True
117,29,2018-12-04 15:47:12.941065,48,True
118,30,2018-12-04 15:47:39.500161,4,False
119,30,2018-12-04 15:47:39.500161,29,False
120,30,2018-12-04 15:47:39.500161,32,True
121,30,2018-12-04 15:47:39.500161,48,True
122,31,2018-12-04 15:48:06.204813,3,False
123,31,2018-12-04 15:48:06.220429,28,False
124,31,2018-12-04 15:48:06.220429,31,True
125,31,2018-12-04 15:48:06.220429,47,True
126,32,2018-12-04 15:48:32.751512,3,False
127,32,2018-12-04 15:48:32.751512,28,False
128,32,2018-12-04 15:48:32.767139,31,True
129,32,2018-12-04 15:48:32.767139,47,True
130,33,2018-12-04 15:48:59.782727,3,False
